sno,name,description,cuisine,diet,prep_time (in mins),cook_time (in mins),instructions,image_url
28,Spinach Corn & Cheese Momo,"Spinach Corn & Cheese Momos Recipe is a delicious momo recipe, that will melt in your mouth.  Thin sheets of momo skin packed with a healthy continental filling of spinach and corn, with some cheese, that is steamed makes these irresistible and absolutely lip smacking. ",Indo Chinese,Vegetarian,15,20,"To begin making the Spinach Corn & Cheese Momos Recipe, first lets make the dough.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Spinach_Corn__Cheese_Momos_Recipe_.jpg
29,Pakistani Style Tinde Ki Tarkari,"Pakistani Style Tinde Ki Tarkari Recipe is an Apple Gourd's curry recipe cooked with tomatoes. Since the apple gourds have abundant moisture in them, this is a summer perfect vegetable to include often in summer time dinners. ",Pakistani,Vegetarian,10,20,"To begin making the Pakistani Style Tinde Ki Tarkari Recipe (Apple Gourds Cooked With Tomatoes), wash, dry and cut the apple gourd into thin slices discarding the seeds portion in the centre.Heat oil in a heavy bottomed pan/kadhai on medium heat, add the mustard seeds and let it crackle.Add the dry red chillies, pounded garlic cloves and saute until the oil becomes fragrant.Add the chopped tomatoes and cook until they turns soft and a little mushy.Once the tomatoes are soft and mushy, add the sliced apple gourd/tinda, season with salt and cook until the gourds are half cooked.Now, add in the red chilli flakes, mix well and let the apple gourd cook until done with the lid closed.Once done, switch off heat and garnish the Tinde Ki Tarkari with coriander leaves and green chilli slices.Serve�Pakistani Style Tinde Ki Tarkari Recipe (Apple Gourds Cooked With Tomatoes) along with�Methi Ragi Soy Wheat Thepla Recipe�and�Kale Chane Ki Kadhi Recipe�for a weeknight dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Tinde_Ki_Tarkari_Pakistani_Style_Apple_Gourds_Cooked_With_Tomatoes.jpg
30,Potato Roulade,"Potato Roulade Recipe is a savoury appetizer that is made from a pie crust and is filled in with potatoes that are tossed in with mildly flavoured seasonings. Roulades are traditionally found in European cuisines, they refer to dishes that are rolled and stuffed in with various filling. The flaky pie pastry is rolled carefully with the filling inside and baked till it crisps up.",French,Vegetarian,30,30,"To begin making the potato roulade heat olive oil in a pan over medium heat. Add the chopped garlic and saute for a few seconds.Add the boiled potatoes, paneer, pesto, salt and chilli flakes. Stir fry until the potatoes are well coated with the pesto. Turn off the heat.Pre make the pastry crust according to instructions. Divide into four small portions.Roll the pastry dough into a 6 inch diameter circle. Add the potato filling in the center and fold the roulade into a cylinder and seal the edges.Make slits in the center to create air pockets for the Potato Roulade to bake. �Brush the crust of the roulade with egg whites and place on a greased baking sheet.Preheat the oven to 180 C and bake the Potato Roulade in the oven until golden brown and crisp.Serve the Potato Roulade along with the powerful sweet scented�Koge Jasmine Green Tea. It makes a perfect tea and snack combination for your tea parties.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Potato_Roulade_Recipe.jpg
31,Carrot Cupcake Recipe with Cream Cheese Frosting,"The Multi Millet Zero Maida Carrot Cupcake Recipe is a nutrition packed cake, that is wholesome yet delicious. Made from Archana's Kitchen Zero Maida Vanilla Cake Mix, that is made from the goodness of jowar, barley and whole wheat.You can shop our cake mixes and other millet based products from out website - https://shop.archanaskitchen.com/",Continental,Vegetarian,10,20,"To begin making the Eggless Zero Maida�Carrot Cupcake recipe, we will first preheat the oven to 160 to 180 C. Line 12 standard muffin cups or 20 mini muffin cups with paper cupcake liners.In a large bowl add the full pack of Archana's Kitchen Vanilla Cake mix, curd, oil, lemon juice, cinnamon powder and grated carrots. Mix well to combine until you get a smooth and yet thick batter.Spoon the carrot cupcake batter among the muffin cavities. Fill the muffin cups only to little more than the 1/2 its mark. �Bake the carrot cupcakes in the preheated oven for about 15 to 20 minutes, until a tester like a knife or toothpick when inserted into the centre comes out clean.Once the cupcakes are baked, remove from the oven and allow it to cool completely.Our next step is to proceed to make the cream cheese frosting for the carrot cupcakes.Now using the whisk attachment of the stand mixer, beat the cream cheese, sugar and cream together until smooth and fluffy.�Once the cup cakes have cooled completely, frost them with the above cream cheese frosting and optionally top with more slivered almonds. You can store the cup cakes with and with out frosting refrigerator for at least 4 to 5 days.Serve the�Carrot Cupcakes with or without Cream Cheese Frosting�as a snack or dessert along with a warm glass of milk, green tea or coffee.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2023/Zero_Maida_Millet_Carrot_Cup_Cake_muffin_recipe_using_archanas_kitchen_cake_mix-5_1600.jpg
32,Prawns Biryani,"No one can deny their love for Biryani. Biryanis are versatile and can be prepared with either chicken, meat, prawns, fish or even with vegetables.Biryani weather veg or non veg is  must in a royal feast. The type and preparation for Biryani vary from region to region. The ingredients used also varies according to the culture and people. Biryanis can be prepared spicy in Hyderabadi style or can be made sweet like Kashmiri ones.",Indian,Non Vegeterian,15,45,"To begin making the Prawns Biryani recipe, firstly dry roast the ingredients mentioned under Biryani Masala like the ajwain seeds, fennel seeds, cinnamon, cardamom and cloves and grind them into a fine powder.Add oil in a wok/kadhai�and saute the onions on medium heat till the onions are brownish and crispy.Soak basmati rice in water for about 30 minutes.In a mixing bowl, add cleaned and deveined prawns, turmeric powder, 1 tablespoon of biryani masala, red chilli powder, half lemon juice, 1/2 teaspoon of salt, 1/2 cup of chopped mint leaves, 1/2 of the fried onions and curd.Combine everything well with the prawns and set aside for about an hour.In a medium sized saucepan, add 5 cups of water, 1 tablespoon of biryani masala, cloves, cinnamon, bay leaves, 1/4 cup of mint leaves, 1 tablespoon of oil and remaining salt.Boil water over high flame.To the boiling water, add the soaked rice and cook on high flame for about 4 to 5 minutes.Do not overcook the rice. Overcooking rice may make them mushy and rice might break.Drain the water from the rice immediately and set aside.Meanwhile, in another medium wide saucepan, spread the remaining half tablespoon of oil on the bottom of the panSpread the marinated prawns as the bottom layer of the pan.Add half of the remaining fried onions and spread them evenly above the prawns. Sprinkle the mint leaves evenly. Layer the rice over the prawn masalas and spread them evenly.Garnish with the leftover fried onions. Dissolve a pinch of saffron in hot water and pour them on top of the layered rice.Cover the pot with the lid and cook the layered rice on high flame for about 10 minutes. Do not open the lid while cooking.Reduce the flame and cook the biryani for about 20 minutes.Turn off the heat and remove the lid after 15 minutes of resting time.Combine the biryani well such that the masalas and rice is well combined . Do not stir hard as rice might break.Garnish with cilantro and it is ready to be served.�Prepare this spicy Prawn Biryani and serve it with�Tadka Raita,�Tomato Onion Cucumber raita�or any other raita of your choice for a perfect weekday lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Prawns_Biryani.jpg
33,Cheese Garlic Cracked Bread ,"Cheese Garlic Cracked Buns Recipe, is a yummy appetizer that will be loved by both little kids and adults.",Continental,Vegetarian,15,10,"To start making the Cheese Garlic Cracked Bread Recipe, preheat the oven to 200 degree celsius.We need to now cut the burger buns to give a cracked effect.To do that, we need to use a serrated bread knife, make 1 inch diagonal cuts across the burger buns making sure you dont cut the bread all the way through.First cut straight standing lines and the cut straight sleeping lines almost until the end, making sure to don't cut it fully.In a tadka pan , heat the butter and olive on medium heat, add the chopped garlic and fry until it gets a light golden colour. Once it gets the desired colour, turn off the flame, add the mixed herbs and the fresh coriander leaves. �Allow it to cool.Next use a spoon to drizzle the garlic butter into the the cuts of the buns, and lightly spread a little veeba pasta pizza sauce in the cuts.Finally, stuff grated cheese in the cuts and arrange on a baking tray.Bake these buns in a preheated oven at 200 degree celsius for 7-10 minutes, till the bread gets crispy and a light brown colour on the top.Remove from the oven , brush the top with the leftover garlic butter and serve hot.You can also serve�Cheese Garlic Cracked Bread Recipe�along with�Spinach Tomato Soup Italian Style Recipe�and�Grilled Pineapple And Chicken Salad Recipe�for a light meal.�",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Cheese_Garlic_Cracked_Buns_Recipe_.jpg
34,Summer Lettuce Salad,"The Summer Lettuce Salad Recipe is perfect for the hot summers when we want a salad that is refreshing, juicy and nutritious too. Summer is here, so lets us enjoy it by making this quick and delicious lettuce salad. With coolness of cucumber & red onions, with sourness of cherry tomatoes & olives, with sweetness of honey & corn, this salad is absolutely refreshing. Finally a bit spicy with Tabasco sauce & black pepper to add to the zing!",Continental,Vegan,20,0,"To begin making Summer Lettuce Salad Recipe, combine all the above ingredients of the dressing in a small bowl and whisk together until all the ingredients are well combined. Keep aside",https://www.archanaskitchen.com/images/archanaskitchen/World_Salads/Summer_Lettuce_Salad_Recipe_shutterstock_207252763_1600.jpg
35,Coconut Burfi,Coconut Burfi is a classic and traditional recipe of an Indian sweet that is prepared during festivals and special occasions. Coconut and festivities go hand in hand because the sweets  made from them are auspicious and are used as offerings at sacred rituals performed during festivals.,Indian,Vegetarian,20,30,"To begin making the Coconut Burfi Recipe, we will first make the sugar syrup. In a medium size sauce pan; stir in the sugar and water with heat on medium. Once the sugar has melted continue to boil the sugar mixture until the liquid reaches a two string consistency.To know the right consistency - do the cold water candy test. Take few tablespoons of water in a cup; add a drop of sugar syrup to water. If it holds its shape like a softball and doesnt dissolve into water then its at the right consistency.Add the grated coconut, and cardamom powder to the sugar syrup. With the heat on medium continue stirring frequently to prevent the mixture from sticking to the pan.In 10 to 15 minutes, the mixture will thicken and will come away from the sides of the pan. This happens with the coconut releasing its oil.At this stage turn off the heat and be careful not to stir any longer on heat as the mixture can get over cooked and will not set to the consistency required. The sugar will crystallise making the burfi very hard.Transfer the coconut burfi mixture to a tray (8 x 8 inch square which has a 2 inch min height) greased with ghee. �Level the burfi mixture. Run a knife to cut into squares and allow it to cool and set on the tray for more than a couple of hours. �Once cooled completely, separate the pre cut Coconut Burfi and serve for festivals and special occasions.Store the Coconut Burfi in air tight containers in the refrigerator for about 2 weeks.Serve the�Coconut Burfi Recipe (Kopra Pak/ Fresh Coconut Fudge) recipe�after your delicious meal of�Jodhpuri Aloo,�Ajwain Puri�and�Boondi Raita.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/Coconut_Burfi_Fudge_Recipe_Archanas_Kitchen-1-2.jpg
36,Nando's Peri Peri Chicken,"Nando's Peri Peri Chicken Recipe is so mouth-watering, one bite is all it takes to get hooked. You can easily recreate it at home with Nandos marinate source whilst making it as spicy as you want. This speedy recipe requires only 15 minutes or less of hands-on work. Spice up your weeknight dinner with this tangy and flavorful Nandos peri-peri chicken!",Continental,Non Vegeterian,5,15,"To begin making Nando's Peri Peri Chicken Recipe, add the chicken to a zip-closed bag and pour the marinade over top. Close the top and toss the chicken. Marinate overnight.Heat the oil in a shallow fry pan over medium heat, place chicken pieces in and cook until fully cooked.Turn to the other side and cook till evenly golden brown. Or you can deep fry them instead, as well. This takes about 10 minutes.Stir in coriander and chili and Serve with the lemon wedges.Serve�Nando's Peri Peri Chicken Recipe along with�Curried Couscous Recipe�and a mocktail like�Piña Colada Recipe (Pineapple with Coconut Milk Mocktail)�for your evening party with your friends and family.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/lei778899-hotmail.com/Nandos_peri_peri_chicken.jpg
37,Broccoli Pakora Masala,"Broccoli Pakora Masala which is a quick, yummy and healthy side dish that can be prepared in no time for a busy weekday lunch or dinner.",North Indian,Vegetarian,10,20,"To begin making the�Broccoli Pakora Masala recipe, preheat�the oven to 400 degree farenheit/204 degree Celsius and spray a non stick cooking oil over a baking tray and keep aside.Add the ingredients (under pakoras) in a bowl which includes broccoli, onion, rice flour, besan, baking soda, lemon juice, turmeric powder, red chilli powder, garam masala powder, salt and a little water. Mix well to form a thick consistency.Take a tea spoon full of mixture and round them slightly with wet hands and place them on a baking tray.�Bake at 400 degree Farenheit for 20 minutes, till the top layers turn light brown. Take them out and place them aside.You can also fry them, if you don't want the baked pakora. For frying, heat oil in a heavy bottomed pan. When the oil is hot, add the pakoras one by one and fry them till it turns golden brown.Take them out on a kitchen towel and keep it aside.�The next step is to make the yogurt gravy for the broccoli pakoras. In a wide pan, heat the oil and add mustard seeds, cumin seeds, asafoetida and let it cook for about 15 to 20 seconds.Lower the heat and add besan. Keep stirring in low heat till it turns aromatic and light golden in colour.Once it turns golden in colour, add in the yogurt, turmeric powder, red chilli powder, coriander powder and stir well in low heat for about 4 to 5 minutes. Add water according to your consistency.Add salt and mix well. Then add in the pakoras and let it simmer for 2 minutes.�Broccoli pakoras in spicy yogurt gravy is ready to be served. Enjoy!Serve�Broccoli Pakora Masala along with�Tomato Onion Cucumber Raita,�Jeera Rice�and�Phulka�for a weekday meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anki.s19-gmail.com/Broccoli_pakora_in_spiced_yogurt_gravy.jpg
38,Creamy Mustard Chicken,Creamy Mustard Chicken Recipe is so easy to make. There is a classic combination of french ingredients in this recipe. First the chicken is marinated in salt and pepper and then browned in a pan in olive oil and butter. The sauce is prepared by mixing cream and mustard with mixed Italian herbs. ,Continental,High Protein Non Vegetarian,10,20,"To begin making Creamy Mustard Chicken Recipe first sprinkle salt and pepper on the chicken breasts and keep them aside.In a large skillet or deep frying pan, heat 1 tablespoon olive oil and butter over medium-high heat.Add chicken and cook until the chicken is browned evenly on both sides and cooked through. This will take about 10 to 12 minutes.Turn the chicken a couple of times to cook it through. Ensure that you do not end up burning the chicken. Remove from the pan and keep aside.In the same pan add 1 tablespoon olive oil. Add the onions and saute until soft. This will take about two minutes. Add garlic and saute for another minute.Add water, cream and dijon mustard and simmer for another 3 to 4 minutes. Add�the mixed herbs and season with salt and pepper.Add the cooked chicken to the Creamy Mustard Sauce and simmer the chicken for a couple of minutes in the sauce and serve hot.Serve Creamy Mustard Chicken Recipe with�Buttered Herbed Rice�and�Grilled Winter Vegetable Salad Recipe�for a weekend dinner.",https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/Recipe_Collection/Creamy_Mustard_Chicken_Recipe_1_1600.jpg
39,Mutton Boil,Mutton Keema is a very popular dish in North India and is loved and cherished by all the non vegetarians. This dish is made with minced mutton and spice powders.,North Indian ,Non Vegeterian,10,30,"To begin making the Mutton Keema recipe, Heat oil in a wide pan and add cumin seeds, bay leaves, peppercorns and cardamoms.Add the chopped onions and saute them till they turn brown in colour.Add garlic and ginger paste, green chillies, tomato puree and mix everything well.Let it cook for about 5 minutes on medium flame. Once it is done, add coriander powder, red chilli powder, cumin powder and salt.Cook for about 5-8 minutes on low flame. After 5-8 minutes, add the minced mutton and salute it for about 2-3 minutes. Add required water and cook till it gets dry.Once the mutton is cooked, switch off the stove and add garam masala. Mix well and garnish it with mint leaves.In Maharashtra, this Mutton Keema is served with pav. You can also serve it with Phulkas or�Pakki Mutton Biryani.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Mutton_Keema_paav_1600.jpg
40,Garlic Naan Without Yeast,The Naan originates from India but is today eaten in most types of South Asian restaurants and homes around the globe. It has transformed from a basic form of bread for many to experimental creations by chefs and food enthusiasts today with different fillings and flavours. Generally the dough of naan is made using yeast but in my recipe I have not used yeast it's just you have to give rest to the dough for half an hour.,North Indian ,Vegetarian,40,20,"To begin making the Garlic Naan Without Yeast recipe, mix all the ingredients except 1/2 teaspoon garlic and butter in a mixing bowl.Make a soft dough out of it and keep it aside to rest for 1/2 an hour.Mix the butter and the remaining garlic in an another bowl. Now take a small portion of dough, dust it with all purpose flour and roll it in the shape of naan with the help of rolling pin.With the help of water wet one side of the naan. Take a normal tava and put the wet side on it.When little bubbles appear on it. Turn the pan upside down and let it cook on simmer gas.About after 1 minute its fully cooked. Take it on a plate, apply butter and garlic combination on it and serve hot.Serve Garlic Naan Without Yeast along with�Dal Makhani�and�Vegetable Malai Kofta�for a delicious weekend dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Riya/GARLIC_NAAN_WITHOUT_YEAST.jpg
41,Paneer Biryani,"Paneer Biryani is a family favorite at home. Short grain jeera samba rice is cooked in a classic onion-tomato masala along with whole spices like cardamom, cinnamon, cloves and bay leaves that lend robust flavour to the biryani.",Indian,High Protein Vegetarian,10,45,"To begin making the Paneer Biryani Recipe, prepare all the ingredients and keep them ready for cooking.Wash and rinse the rice in water and keep aside.Heat ghee in the pressure cooker over medium heat; add the onion, ginger and garlic and saute until the onions have softened and turned slightly brown .�Stir in the spices - cardamom, cloves, cinnamon and bay leaves and saute for a couple of minutes.Stir in chopped tomatoes along with turmeric powder, chili powder and coriander powder. Saute until the tomatoes become mushy and soft.To put the paneer biryani together, add the paneer, rice, coconut milk and salt. Stir well to combine. Add 1-� cups of water and over the pressure cooker.Pressure cook for 2 whistles. After 2 whistles, turn the heat to low and simmer for 3 to 4 minutes and turn off the heat.Allow the pressure to release naturally. Once the pressure is released, open the cooker, wait for a few minutes and then add the chopped pudina leaves and stir to combine the Paneer Biryani.�Serve hot Paneer Biryani along with�Onion Raita Recipe - Pyaz Ka Raita Recipe�for a simple soulful meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Priya__Suresh/Paneer_Biryani_Recipe_1_1600.jpg
42,Mixed Vegetable Pulao,The Mixed Vegetable Pulao Recipe is a simple and quick to cook dish for the busy weeknights. Pack the pulao with lots of steamed vegetables as it gives you the required nutrition for the day. You can also pack this for your Lunch Box in the morning.,Indian,Vegetarian,20,40,"To begin making the Mixed Vegetable Pulao Recipe, we will first wash and soak rice in 2 cups of water for half an hour.While the rice is soaking, steam the vegetables with a bit of salt and keep aside.Make a powder of all the spices (cloves, cardamom and cinnamon) using a pestle and mortar. Keep aside.After half an hour, into a large saucepan heat 2 tablespoons of ghee. Add the grated garlic and the powdered spices. Stir-fry for a few seconds.Next add in the rice, salt , green chillies and the bay leaves along with the water it was soaked in. Turn the heat to high and allow the rice mixture to come to a boil.Once it comes to a boil, turn the heat to low, cover the pan and simmer the rice until the rice absorbs all the water.Once the water is absorbed, check if the pulao is cooked completely, to suit your taste. If it needs to be softer, you can add in a little more water and cook for a bit more time.Turn off the heat and allow the pulao to rest for at least 10 minutes, this will help the rice to become a little stiff and remain as grains.Finally stir in the steamed vegetables and chopped mint leaves and check the salt and adjust to suit your taste.Transfer the Vegetable Pulao to a serving bowl and serve hot.�Serve�Mixed Vegetable Pulao�along with�Boondi Raita,�Tomato Onion Cucumber Raita�or any other raita of your choice and a roasted papad for everyday meals.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Mixed_Vegetable_Pulav_Recipe-3.jpg
43,Moroccan Stuffed Roasted Eggplant,Moroccan Stuffed Roasted Eggplant Recipe is an interesting way to serve eggplants to your family. ,Continental,Vegetarian,10,20,"To begin making the Moroccan Stuffed Roasted Eggplant Recipe, prep all the ingredients and keep aside.�Place the masoor dal in the pressure cooker along with 1 cup of water, little salt and turmeric powder. Pressure cook for about 3 to 4 whistles.�After 4 whistles, turn the heat to low and simmer for 3 to 4 minutes and turn off the heat.�Allow the pressure to release naturally. Once done, open the cooker and check if the dal/ lentils are cooked and keep aside. We will use the lentils for stuffing.Slice the eggplants into half lengthwise� and scoop out the eggplant meat and seeds, to create a ��boat shaped eggplant.�Finely chop up the scooped out eggplant and keep aside in a bowl.In a large pan, heat olive oil over medium heat; place the eggplants cut side down in the pan and close with a lid.�Fry on one side for 3 to 5 minutes until the bottom side looks cooked and a little charred. Flip and cook on the other side for another 3 to 5 minutes.�Once cooked, remove the eggplants from the pan and place them in a rectangular baking pan with cut face up.�In the same pan heat olive oil over medium heat; add onion, garlic and bell peppers and saute until the onion and peppers have softened and lightly brown.�Stir in the tomato puree, cumin powder, coriander powder, red chilli powder, turmeric powder, chopped eggplant and salt. Stir well to combine, cover the pan and cook the eggplant until it's completely done.Finally stir in the cooked raisins, lentils /masoor dal and simmer for another 5 minutes. Check the salt and adjust to taste accordingly.�To assemble the Moroccan Stuffed Roasted Eggplant, preheat the oven at 200 degree celsius.�Spoon the filling in the cavity of the eggplant, sprinkle a little feta cheese on the eggplants and bake in the oven for 20 minutes or until the eggplant is soft and browned and the lentils are bubbling.Remove from the oven, garnish with chopped parsley leaves and roasted slivered almonds.�Serve�Moroccan Stuffed Roasted Eggplant Recipe along with a meal of�,�Tabbouleh Recipe (A Mediterranean Salad)�and�Tzatziki Recipe - A Greek Yogurt Dip�for a fun summer lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/madhulia/Moroccan_Stuffed_Roasted_Eggplant_Recipe_1_1600.jpg
44,KFC Style Crispy Chicken Popcorn,"KFC Style Crispy Chicken Popcorn are bite sized chunks of chicken with a spicy rub, coated with flavoured breadcrumbs. This crunchy irresistible starter, with flavour packed tender meat on the inside, and golden & crispy coating on the outside is a must try recipe. It can be eaten as it is or served with a dip. ",American,Non Vegeterian,20,15,"To begin making the KFC Style�Crispy Chicken Popcorn, wash the chicken thoroughly, cut into small cubes.To marinate the chicken, in a mixing bowl, combine chicken, minced garlic, lemon juice, oregano, thyme, rosemary, chili flakes and salt.Alternatively if you do not have these herbs available individually, you can use 3 teaspoons of mixed herbs or any herbs of your choice.�Let this sit for about 20 minutes.In the meanwhile, heat a griddle on medium-high flame, toast the slices of bread until crispy. Allow it to cool. �In a mixer jar, grind the toasted bread until you get coarse bread crumbs. Transfer the bread crumbs to a bowl, add cumin powder and garam masala mix and set aside.In another bowl, break the egg, add milk to the eggs and whisk lightly, set aside.Place the maida in a bowl and keep it ready.�Heat a paniyaram pan on medium-high flame until steaming hot. Put a little oil in each of the cavities.Arrange the components in the sequence of - chicken, egg, maida, bread crumbs.To coat the chicken popcorns, first start by dipping the marinated piece of chicken in egg, then roll in maida, dip it in egg once again, and finally roll it in the bread crumbs.Drop the chicken popcorns in each of the cavities and allow to cook and become crispy. After 3-4 minutes, flip the chicken on to the other side. Allow to cook. Drain on a kitchen towel so that it absorbs the excess oil. Serve hot.Alternatively, you can also deep fry the Crispy Chicken Popcorn in a frying pan until the popcorns turns golden in colour.Serve�KFC Style Crispy Chicken Popcorn�as appetizer with�Cottage Cheese Dip Recipe With Pepper and Olives�or�Tzatziki Recipe - A Greek Yogurt Dip�or�Sriracha Hummus�for your house parties or a potluck party.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Crispy_Chicken_Popcorn__Recipe.jpg
45,Tomato Soup,"Tomato shorba recipe is best recipe to warm up your rainy season, it is spicy in taste and full of flavour. The shorba is a part of turkish cuisines which is basically a kind of soup or stew. Shorba is derived from persian language, ""shor"" means salty and ""ba"" meaning stew. It is usually prepared from any meat and is stewed for a very long time.",Middle Eastern,Vegetarian,10,30,"To prepare Tomato shorba recipe, heat butter in a Saucepan, add bay leaf, and chopped garlic.Saut it for a few seconds.Add onions and saut them well till cooked.Add carrot and chopped tomatoes.Sprinkle some salt so that it gets cooked faster.�Let it cook till the tomatoes and carrots get done and switch it off.�Let mixture cool down a bit. Then blend it into a smooth puree in a Hand blender.Pass it through a Soup Strainer�or a sieve.�Put mixture into a saucepan and back on fire.Add some water to get the right consistency. Shorba's are usually very thin consistency.�Add sugar, cumin seed powder, chilli powder, and crushed black pepper. Check for salt as well.�Let the mixture come to a boil.Once its nicely boiled, pour it in a soup serving bowl.Place the bread croutons on top and serve withFocaccia bread�or�Masala bread�and�Ginger tea.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Tomato_Shorba.jpg
46,Chicken Keema Biryani,Keema is a South Asian meat dish that literally means minced meat in Turkish. Keema can be made with any meat but usually Keema is associated with mutton mince. Vegetarians Keemas usually involve peas or cauliflower. Most Keemas are minced meats that are mixed with aromatic spices that are either eaten by itself or added to rice or stuffed in breads.,North Indian ,High Protein Non Vegetarian,20,25,"To begin making the Keema Biryani, heat oil in a pan and add cinnamon, black cardamom, green cardamom, cloves, black peppercorns and cumin seeds to the oil in the pan and saute till you start getting the fragrance of the spices.Meanwhile boil water in a big saucepan and add the basmati rice into the boiling water. Drain the water when the rice gets cooked. Keep it aside.In the next step add the chopped onion and saute for 2-3 minutes until it gets soft. Now add the minced chicken and mix well and continue to saute until the mixture turns brownish in the colour.Add garlic paste, ginger paste into the pan and saute it until the raw smell of ginger and garlic goes away. Next, add� the tomatoes, red chilli powder and salt and mix them properly. Cook till the tomatoes turns soft.Next, add green chillies, some coriander leaves and some mint leaves and mix. Cook for about 30 seconds until the mint leaves are cooked.�Now add some garam masala powder to the keema and give it a good stir. Add salt and 1/4 cup fried onion and mix everything properly.�Put half the keema mix in a big handi and spread half rice over keema and spread some fried onion, some mint leaves, some coriander leaves, some garam masala powder, 1 tablespoon extra virgin olive oil, remaining keema, remaining rice, remaining fried onions, remaining mint leaves, remaining coriander leaves, remaining garam masala powder, remaining extra virgin olive oil.�Cover the handi with the lid and cook for another 7-8 minutes.�Serve Keema Biryani With�Burani Raita, and�Chettinad Kathirikai Chops�for a complete meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/garimasgautam-gmail.com/Keema_biryani.jpg
47,Hot and Spicy Chicken Curry Noodles,"A delicious lip smacking curry that can make you weeknight dinner exciting and yet easy. The addition of tofu, oats and sriracha sauce into the curry gives it that perfect taste and texture.",Chinese,Non Vegeterian,10,40,"To begin making the Hot and Spicy Chicken Curry Noodles recipe, first boil the noodles and keep aside.In a heavy bottomed pan, heat oil and fry the spring onion, ginger and garlic until lightly browned.Add the sriracha sauce, salt and 1 cup of water and chicken. Cover the pan and simmer for 10 minutes until the chicken is cooked through.Reduce the heat, add the tofu, coconut milk, oats and stir. Add the chilli powder, check the salt and adjust to suit your taste.Give the curry a brisk boil, and turn off the heat.Serve Hot and Spicy Chicken Curry Noodles as an one pot meal for your weekend dinner with a glass of�Pomegranate Mint Cocktail Recipe.",https://www.archanaskitchen.com/images/archanaskitchen/0-Saffola_FitFoodie/10-Spicy_Chicken_Curry_Noodles_Recipe_Saffola_Oats_Fit_Foodie-1.jpg
48,Oven Baked Rice Casserole,Oven Baked Rice Casserole Recipe is a lip smacking main course dish. ,Continental,Vegetarian,25,45,"To begin making the Oven Baked Rice Casserole Recipe, we need to make three elements.�",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Oven_Baked_Rice_With_Vegetables_Recipe_21_1600.jpg
49,Lebanese Chickpea Falafel,The Lebanese Chickpea Falafel Recipe is a classic street food of middle-east made from chickpeas. It is simple and quick to make and is very nutritious too. The Falafel's can be served as an appetizer or place in a pita bread sandwich or into a wrap.,Mediterranean,High Protein Vegetarian,15,30,"To begin making the�Lebanese Chickpea Falafel Recipe, prepare all the ingredients and keep them ready.Soak the chickpeas for about 8 hours/ overnight.�Drain all the water from the soaked chickpeas.�Combine all the ingredients, including the soaked chickpeas except the oil in a food processor. Do not add any water to make this falafel batter. It needs to be thick, the salt added will slowly release moisture.�A food processor really helps in giving a better falafel batter. If you are using a mixer grinder, grind them in small batches.�Blend to make a coarse paste. Divide the falafel batter into small portions of the size of a ping pong ball and flatten them slightly.Check the salt and adjust accordingly.I use a Kuzhi Paniyaram Pan pan to fry the falafels and the result is very similar to the deep fried ones.Add a teaspoon of oil into each of the cavities, place the shaped falafel into the cavities and pan fry them until it is crisp and browned on both sides. Add a few more drops of oil when you flip over to fry them on the other side.This will help in getting the even color for the falafels.You can alternatively, pan fry the falafels if you do not have a paniyaram pan. Drizzle oil over a non-stick skillet/ pan / tawa. Place the shaped falafels on the pan leaving a few inch distance between each falafel.Flip and cook the falafels on both sides by drizzling a little more oil on the top if required. Cook the falafels until they are dark golden brown and crisp on both sides.If you are deep frying them; heat oil for deep frying and deep fry these falafels until browned evenly on all sides.Serve the Lebanese Chickpea Falafel is had along with a�Tabbouleh Salad,�Pita Bread�and��Hummus.",https://www.archanaskitchen.com/images/archanaskitchen/World_Mediterranean/Lebanese_Falafel_Chickpea_Recipe.jpg
